City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,deputatskiy,69.3,139.9,-17.68,89,100,21.83,RU,RU
89,katsuura,35.1333,140.3,51.89,68,98,11.03,JP,JP
90,beringovskiy,63.05,179.3167,29.98,81,73,16.42,RU,RU
91,malanje,-9.5402,16.341,74.68,79,100,2.35,AO,AO
92,sao raimundo das mangabeiras,-7.0219,-45.4811,83.66,69,67,6.4,BR,BR
93,college,64.8569,-147.8028,5.58,85,100,3.44,US,US
94,bredasdorp,-34.5322,20.0403,66.15,46,5,26.15,ZA,ZA
95,vardo,70.3705,31.1107,36.66,81,100,8.48,NO,NO
96,yellowknife,62.456,-114.3525,-28.68,75,20,9.22,CA,CA
97,fethiye,36.6217,29.1164,64.27,75,10,2.3,TR,TR
98,abapo,-18.8333,-63.4667,66.0,76,100,5.68,BO,BO
99,lata,40.1629,-8.3327,61.07,47,0,4.16,PT,PT
100,dikson,73.5069,80.5464,12.07,91,75,14.41,RU,RU
101,aguimes,27.9054,-15.4461,72.23,53,20,20.71,ES,ES
102,east london,-33.0153,27.9116,68.94,73,20,28.77,ZA,ZA
103,saint george,37.1041,-113.5841,52.39,56,100,6.91,US,US
104,kaitangata,-46.2817,169.8464,41.86,80,83,8.05,NZ,NZ
105,imeni poliny osipenko,52.4201,136.4853,-22.22,99,17,3.62,RU,RU
106,koungou,-12.7336,45.2042,80.31,83,0,6.91,YT,YT
107,bentiu,9.2333,29.8333,93.36,17,100,5.64,SS,SS
108,verkhnyaya toyma,62.2349,44.9985,16.95,88,100,4.43,RU,RU
109,ossora,59.2353,163.0719,7.52,85,28,5.37,RU,RU
110,porto santo,33.072,-16.3415,64.78,82,75,19.57,PT,PT
111,mbandaka,0.0487,18.2603,81.12,72,99,3.22,CD,CD
112,chapel hill,35.9132,-79.0558,49.46,61,54,4.72,US,US
113,ribeira grande,38.5167,-28.7,57.6,58,40,11.99,PT,PT
114,darab,28.7519,54.5444,63.64,33,0,0.43,IR,IR
115,westport,41.1415,-73.3579,43.27,58,0,1.99,US,US
116,lebu,-37.6167,-73.65,61.81,68,6,11.77,CL,CL
117,barrow,71.2906,-156.7887,30.22,100,100,29.93,US,US
118,swellendam,-34.0226,20.4417,68.88,31,3,21.21,ZA,ZA
119,quatre cocos,-20.2078,57.7625,77.11,69,59,6.44,MU,MU
120,turbat,26.0023,63.044,75.52,20,0,15.5,PK,PK
121,kingsville,27.5159,-97.8561,61.92,99,100,0.0,US,US
122,egvekinot,66.3167,-179.1667,27.36,99,100,5.75,RU,RU
123,vaini,-21.2,-175.2,73.56,94,20,0.0,TO,TO
124,omsukchan,62.5333,155.8,-11.18,100,98,7.45,RU,RU
125,vicente guerrero,19.1194,-98.1708,51.19,44,11,4.79,MX,MX
126,cabo san lucas,22.8909,-109.9124,75.51,46,40,8.05,MX,MX
127,baghdad,33.3406,44.4009,62.51,67,0,8.05,IQ,IQ
128,faanui,-16.4833,-151.75,79.77,79,35,17.45,PF,PF
129,alice springs,-23.7,133.8833,65.75,37,23,0.0,AU,AU
130,shingu,33.7333,135.9833,40.62,74,0,6.06,JP,JP
131,kinablangan,7.6947,126.5503,77.5,87,81,4.9,PH,PH
132,champasak,14.75,106.0,70.9,85,46,1.99,LA,LA
133,dalvik,65.9702,-18.5286,42.73,71,87,7.02,IS,IS
134,miquelon,47.0975,-56.3814,35.6,63,98,28.59,PM,PM
135,atar,20.5169,-13.0499,84.9,9,65,6.31,MR,MR
136,tupik,54.4253,119.9327,-25.19,97,100,1.52,RU,RU
137,cabinda,-5.55,12.2,76.39,80,100,4.65,AO,AO
138,longyearbyen,78.2186,15.6401,40.84,75,75,18.41,SJ,SJ
139,saint-augustin,51.226,-58.6502,25.88,70,18,17.05,CA,CA
140,calama,-22.4667,-68.9333,66.69,9,0,17.27,CL,CL
141,mount gambier,-37.8333,140.7667,52.88,93,27,4.72,AU,AU
142,leningradskiy,69.3833,178.4167,1.04,98,89,4.52,RU,RU
143,ambon,-3.6954,128.1814,79.23,14,40,5.75,ID,ID
144,umm kaddadah,13.6017,26.6876,85.89,13,2,16.4,SD,SD
145,provideniya,64.3833,-173.3,34.86,99,100,15.19,RU,RU
146,san cristobal,7.7669,-72.225,73.58,58,39,3.94,VE,VE
147,shache,38.4167,77.2406,28.06,24,18,6.6,CN,CN
148,atasu,48.6814,71.6433,3.52,96,83,7.2,KZ,KZ
149,slonim,53.0867,25.3219,18.1,91,71,5.48,BY,BY
150,barra dos coqueiros,-10.9089,-37.0386,84.22,70,20,13.8,BR,BR
151,hot springs,34.5037,-93.0552,47.19,69,100,3.0,US,US
152,mersing,2.4312,103.8405,76.91,94,20,3.44,MY,MY
153,port elizabeth,-33.918,25.5701,66.49,66,75,27.63,ZA,ZA
154,eyl,7.9803,49.8164,79.12,71,31,20.07,SO,SO
155,freeport,40.6576,-73.5832,43.02,61,0,1.99,US,US
156,camana,-16.6228,-72.7111,73.74,61,0,9.78,PE,PE
157,upernavik,72.7868,-56.1549,6.24,63,100,9.08,GL,GL
158,qaqortoq,60.7167,-46.0333,30.92,63,100,13.13,GL,GL
159,suileng,47.25,127.0833,3.85,91,100,4.45,CN,CN
160,husavik,66.0449,-17.3389,35.06,75,60,13.4,IS,IS
161,muros,42.7762,-9.0603,58.84,63,0,1.57,ES,ES
162,bandar,2.05,99.75,73.78,97,100,2.91,ID,ID
